"segment_id","segment_name","lifecycle_stage","primary_goal","sub_goals","day_label","focus_feature_id","user_task","rationale"
"0","Inactive_Socialite","inactive","Re-engage inactive users by leveraging their social and achievement drives to establish a consistent practice habit and prevent churn.","Prompt immediate re-engagement with a low-friction, socially-oriented activity. | Incentivize small, consistent actions through gamified achievement and social sharing. | Transition to regular, low-pressure conversational practice that feels social and rewarding.","Day 1","leaderboards","Check your current ranking on the global leaderboard and see how you compare to friends.","This initial touchpoint directly appeals to the user's dominant social and achievement drives, providing a low-friction reason to re-open the app. It immediately showcases a competitive element without requiring active learning, making re-engagement less daunting for an inactive user."
"0","Inactive_Socialite","inactive","Re-engage inactive users by leveraging their social and achievement drives to establish a consistent practice habit and prevent churn.","Prompt immediate re-engagement with a low-friction, socially-oriented activity. | Incentivize small, consistent actions through gamified achievement and social sharing. | Transition to regular, low-pressure conversational practice that feels social and rewarding.","Day 7","badges_achievements","Complete a quick practice challenge to earn your first achievement badge and share it with friends.","By offering a tangible reward for a small action, this step leverages the user's achievement propensity and provides a sense of accomplishment. The option to share the badge further reinforces their social drive, encouraging continued engagement and potentially inviting others to join or compete."
"0","Inactive_Socialite","inactive","Re-engage inactive users by leveraging their social and achievement drives to establish a consistent practice habit and prevent churn.","Prompt immediate re-engagement with a low-friction, socially-oriented activity. | Incentivize small, consistent actions through gamified achievement and social sharing. | Transition to regular, low-pressure conversational practice that feels social and rewarding.","Day 14","sia_chat","Engage in a short, fun conversation with Sia Chat to earn daily coins and maintain your streak.","This encourages daily, low-pressure conversational practice, appealing to their desire for interaction without the intensity of structured learning. Earning coins and maintaining a streak taps into their gamification and achievement drives, fostering a consistent habit through positive reinforcement."
"0","Inactive_Socialite","inactive","Re-engage inactive users by leveraging their social and achievement drives to establish a consistent practice habit and prevent churn.","Prompt immediate re-engagement with a low-friction, socially-oriented activity. | Incentivize small, consistent actions through gamified achievement and social sharing. | Transition to regular, low-pressure conversational practice that feels social and rewarding.","Day 30","ai_tutor","Challenge yourself with an AI Tutor conversation scenario to refine your speaking skills and climb the leaderboards.","This step encourages more substantial conversational practice, framed as a challenge to improve and compete. The AI Tutor provides real-time feedback, which helps users feel they are genuinely improving their communication for social contexts, reinforcing their social and achievement motivations for sustained engagement."
"1","Inactive_Social_Learners","inactive","Re-engage inactive users by leveraging their social and learning drives to improve long-term retention.","Re-activate consistent engagement with core learning features. | Foster a sense of friendly competition and social connection. | Demonstrate tangible progress and reinforce achievement.","Day 1","daily_lessons","Complete your first daily lesson to re-activate your learning streak and receive immediate feedback.","Inactive users require a clear, low-friction entry point to re-engage with the product. Daily lessons provide structured practice and immediate AI feedback, catering directly to their learning propensity and helping them quickly re-establish a consistent learning habit."
"1","Inactive_Social_Learners","inactive","Re-engage inactive users by leveraging their social and learning drives to improve long-term retention.","Re-activate consistent engagement with core learning features. | Foster a sense of friendly competition and social connection. | Demonstrate tangible progress and reinforce achievement.","Day 7","leaderboards","Check your ranking on the leaderboard and aim to improve your score by completing more lessons.","After a week of re-engagement, users are ready for features that tap into their dominant social and achievement drives. Leaderboards provide a competitive element and social comparison, motivating them to continue practicing and improve their standing, directly leveraging their past interest in this feature."
"1","Inactive_Social_Learners","inactive","Re-engage inactive users by leveraging their social and learning drives to improve long-term retention.","Re-activate consistent engagement with core learning features. | Foster a sense of friendly competition and social connection. | Demonstrate tangible progress and reinforce achievement.","Day 14","progress_reports","Review your personalized progress report to identify areas of improvement and celebrate your achievements.","By Day 14, users need to see tangible results of their efforts to stay motivated and reinforce their learning journey. Progress reports highlight their improvement and provide insights into their strengths and weaknesses, catering to their learning and achievement propensities."
"1","Inactive_Social_Learners","inactive","Re-engage inactive users by leveraging their social and learning drives to improve long-term retention.","Re-activate consistent engagement with core learning features. | Foster a sense of friendly competition and social connection. | Demonstrate tangible progress and reinforce achievement.","Day 30","ai_tutor","Engage in a conversation with the AI Tutor to practice real-time speaking and build confidence in your communication skills.","For long-term retention, users need to feel confident in applying their skills in conversational settings, which directly aligns with their dominant social drive. The AI Tutor provides a safe and effective environment for real-time conversational practice, building confidence and reinforcing their learning journey through instant feedback."
"2","Paid_Social_Achiever","paid","Maximize long-term engagement and advocacy by leveraging social interaction and achievement recognition.","Foster competitive engagement through leaderboards and challenges. | Reinforce consistent practice with visible achievement milestones. | Provide tangible proof of progress to encourage sharing and continued commitment.","Week 1","leaderboards","Engage in competitive practice to see your ranking among peers.","This cohort exhibits a dominant social propensity and high gamification/achievement scores. Introducing leaderboards early will immediately tap into their competitive spirit and desire to see how they stack up against others, fostering initial engagement and a sense of belonging within the community."
"2","Paid_Social_Achiever","paid","Maximize long-term engagement and advocacy by leveraging social interaction and achievement recognition.","Foster competitive engagement through leaderboards and challenges. | Reinforce consistent practice with visible achievement milestones. | Provide tangible proof of progress to encourage sharing and continued commitment.","Week 2","badges_achievements","Earn your first achievement badge by completing a significant learning milestone.","After initial competitive engagement, recognizing individual progress through badges reinforces their achievement drive and provides tangible rewards. This also offers social proof of their dedication, which is important for a socially driven user, encouraging continued consistent practice."
