"template_id","segment_id","lifecycle_stage","goal_id","theme","message_title_en","message_title_hi","message_body_en","message_body_hi","cta_text_en","cta_text_hi","tone_used","hook_type","feature_reference","iteration"
"Inactive_Socialite_Day_1_Unpredictability_T1","0","inactive","Day 1","Unpredictability","Your Rank Awaits! See Where You Stand.","Aapka rank wait kar raha hai! Dekho kahan ho.","Check the leaderboards now to see your latest position and progress.","Leaderboard par apna latest position aur progress check karo.","Check My Rank","Rank Dekho","Encouraging","leaderboards_social","leaderboards","0"
"Inactive_Socialite_Day_1_Unpredictability_T2","0","inactive","Day 1","Unpredictability","Challenge Accepted? See Your Rivals!","Challenge accept kiya? Rivals dekho!","Friends are climbing the ranks. Find out if you're still ahead!","Friends ranks climb kar rahe hain. Dekho kya tum abhi bhi aage ho!","View Leaderboard","Leaderboard Dekho","Motivational","leaderboards_social","leaderboards","0"
"Inactive_Socialite_Day_1_Unpredictability_T3","0","inactive","Day 1","Unpredictability","Guess Who's Topping The Charts?","Guess karo top par kaun hai?","Your friends are active! See if your position has shifted on the global leaderboard.","Tumhare friends active hain! Dekho kya tumhari position badli hai.","Reveal Rankings","Rankings Dekho","Friendly","leaderboards_social","leaderboards","0"
"Inactive_Socialite_Day_1_Unpredictability_T4","0","inactive","Day 1","Unpredictability","Friends Are Competing! Join The Fun.","Friends compete kar rahe hain! Masti mein join karo.","Others are making progress. Don't miss out on seeing your current standing!","Sab progress kar rahe hain. Apna current standing dekhna miss mat karo!","See Friend Ranks","Friends Ke Ranks Dekho","Celebratory","leaderboards_social","leaderboards","0"
"Inactive_Socialite_Day_1_Unpredictability_T5","0","inactive","Day 1","Unpredictability","Rank Update: See Your New Position!","Rank Update: Apni nayi position dekho!","Quickly check your global leaderboard standing. Your progress matters!","Jaldi se apna global leaderboard standing check karo. Tumhara progress important hai!","Check My Spot","Apna Spot Dekho","Supportive","leaderboards_social","leaderboards","0"
"Inactive_Socialite_Day_7_Unpredictability_T1","0","inactive","Day 7","Unpredictability","Unlock Your First Achievement Badge!","Apna Pehla Achievement Badge Unlock Karo!","Complete a quick challenge today and earn a special badge. Share your success!","Aaj ek quick challenge complete karo aur special badge paao. Apni success share karo!","Start Challenge","Challenge Shuru Karo","Motivational","badges_achievements","badges_achievements","0"
"Inactive_Socialite_Day_7_Unpredictability_T2","0","inactive","Day 7","Unpredictability","A Mystery Badge Awaits!","Ek Mystery Badge Wait Kar Raha Hai!","Dive back in! Complete a fun challenge to discover your next achievement and share it with friends.","Wapas aao! Ek fun challenge complete karo aur apna naya achievement dekho, friends ke saath share bhi karo.","Discover Now","Abhi Dekho","Friendly","badges_achievements","badges_achievements","0"
"Inactive_Socialite_Day_7_Unpredictability_T3","0","inactive","Day 7","Unpredictability","Curious About Your Next Badge?","Apne Next Badge Ke Baare Mein Curious Ho?","A quick challenge holds the key to a new achievement. Earn it and show off to your friends!","Ek quick challenge mein tumhara naya achievement chhupa hai. Jeeto aur friends ko dikhao!","Find Out Now","Abhi Pata Karo","Encouraging","badges_achievements","badges_achievements","0"
"Inactive_Socialite_Day_7_Unpredictability_T4","0","inactive","Day 7","Unpredictability","Don't Miss Out: Earn Your Unique Badge!","Miss Mat Karo: Apna Unique Badge Jeeto!","Your friends are earning awesome badges. Complete a challenge, get yours, and share the celebration!","Tumhare friends kamaal ke badges jeet rahe hain. Challenge complete karo, apna paao, aur celebrate karo!","Join The Fun","Maza Lo","Celebratory","badges_achievements","badges_achievements","0"
"Inactive_Socialite_Day_7_Unpredictability_T5","0","inactive","Day 7","Unpredictability","New Challenge, Surprise Badge!","Naya Challenge, Surprise Badge!","Quick practice equals a cool achievement. Share your win!","Quick practice se milega cool achievement. Apni jeet share karo!","Practice & Earn","Practice Karo","Supportive","badges_achievements","badges_achievements","0"
