"template_id","segment_id","lifecycle_stage","goal_id","theme","message_title_en","message_title_hi","message_body_en","message_body_hi","cta_text_en","cta_text_hi","tone_used","hook_type","feature_reference"
"Inactive_Socialite_Day_1_Unpredictability_T1","0","inactive","Day 1","Unpredictability","Your Rank Awaits! See Where You Stand.","Aapka rank wait kar raha hai! Dekho kahan ho.","Check the leaderboards now to see your latest position and progress.","Leaderboard par apna latest position aur progress check karo.","Check My Rank","Rank Dekho","Encouraging","leaderboards_social","leaderboards"
"Inactive_Socialite_Day_1_Unpredictability_T2","0","inactive","Day 1","Unpredictability","Challenge Accepted? See Your Rivals!","Challenge accept kiya? Rivals dekho!","Friends are climbing the ranks. Find out if you're still ahead!","Friends ranks climb kar rahe hain. Dekho kya tum abhi bhi aage ho!","View Leaderboard","Leaderboard Dekho","Motivational","leaderboards_social","leaderboards"
"Inactive_Socialite_Day_1_Unpredictability_T3","0","inactive","Day 1","Unpredictability","Guess Who's Topping The Charts?","Guess karo top par kaun hai?","Your friends are active! See if your position has shifted on the global leaderboard.","Tumhare friends active hain! Dekho kya tumhari position badli hai.","Reveal Rankings","Rankings Dekho","Friendly","leaderboards_social","leaderboards"
"Inactive_Socialite_Day_1_Unpredictability_T4","0","inactive","Day 1","Unpredictability","Friends Are Competing! Join The Fun.","Friends compete kar rahe hain! Masti mein join karo.","Others are making progress. Don't miss out on seeing your current standing!","Sab progress kar rahe hain. Apna current standing dekhna miss mat karo!","See Friend Ranks","Friends Ke Ranks Dekho","Celebratory","leaderboards_social","leaderboards"
"Inactive_Socialite_Day_1_Unpredictability_T5","0","inactive","Day 1","Unpredictability","Rank Update: See Your New Position!","Rank Update: Apni nayi position dekho!","Quickly check your global leaderboard standing. Your progress matters!","Jaldi se apna global leaderboard standing check karo. Tumhara progress important hai!","Check My Spot","Apna Spot Dekho","Supportive","leaderboards_social","leaderboards"
"Inactive_Socialite_Day_7_Unpredictability_T1","0","inactive","Day 7","Unpredictability","Unlock Your First Achievement Badge!","Apna Pehla Achievement Badge Unlock Karo!","Complete a quick challenge today and earn a special badge. Share your success!","Aaj ek quick challenge complete karo aur special badge paao. Apni success share karo!","Start Challenge","Challenge Shuru Karo","Motivational","badges_achievements","badges_achievements"
"Inactive_Socialite_Day_7_Unpredictability_T2","0","inactive","Day 7","Unpredictability","A Mystery Badge Awaits!","Ek Mystery Badge Wait Kar Raha Hai!","Dive back in! Complete a fun challenge to discover your next achievement and share it with friends.","Wapas aao! Ek fun challenge complete karo aur apna naya achievement dekho, friends ke saath share bhi karo.","Discover Now","Abhi Dekho","Friendly","badges_achievements","badges_achievements"
"Inactive_Socialite_Day_7_Unpredictability_T3","0","inactive","Day 7","Unpredictability","Curious About Your Next Badge?","Apne Next Badge Ke Baare Mein Curious Ho?","A quick challenge holds the key to a new achievement. Earn it and show off to your friends!","Ek quick challenge mein tumhara naya achievement chhupa hai. Jeeto aur friends ko dikhao!","Find Out Now","Abhi Pata Karo","Encouraging","badges_achievements","badges_achievements"
"Inactive_Socialite_Day_7_Unpredictability_T4","0","inactive","Day 7","Unpredictability","Don't Miss Out: Earn Your Unique Badge!","Miss Mat Karo: Apna Unique Badge Jeeto!","Your friends are earning awesome badges. Complete a challenge, get yours, and share the celebration!","Tumhare friends kamaal ke badges jeet rahe hain. Challenge complete karo, apna paao, aur celebrate karo!","Join The Fun","Maza Lo","Celebratory","badges_achievements","badges_achievements"
"Inactive_Socialite_Day_7_Unpredictability_T5","0","inactive","Day 7","Unpredictability","New Challenge, Surprise Badge!","Naya Challenge, Surprise Badge!","Quick practice equals a cool achievement. Share your win!","Quick practice se milega cool achievement. Apni jeet share karo!","Practice & Earn","Practice Karo","Supportive","badges_achievements","badges_achievements"
"Inactive_Socialite_Day_14_Unpredictability_T1","0","inactive","Day 14","Unpredictability","Unlock Daily Rewards!","Roz ke rewards paao!","Chat with Sia to earn coins & keep your streak alive.","Sia se chat karo, coins jeeto aur streak maintain karo.","Chat Now","Abhi Chat Karo","Friendly","coins_economy","sia_chat"
"Inactive_Socialite_Day_14_Unpredictability_T2","0","inactive","Day 14","Unpredictability","Don't Break Your Streak!","Apna streak mat todo!","A quick chat with Sia keeps it going & brings a delightful surprise.","Ek quick chat ise banaye rakhega aur ek delightful surprise dega.","Continue Streak","Streak Banao","Encouraging","streak_system","sia_chat"
"In'active_Socialite_Day_14_Unpredictability_T3","0","inactive","Day 14","Unpredictability","What's Sia Chatting About?","Sia aaj kya baat kar rahi hai?","Discover new topics, earn coins, and maintain your amazing streak today!","Naye topics discover karo, coins kamao aur apna amazing streak rakho!","Explore Now","Abhi Explore Karo","Motivational","discovery","sia_chat"
"Inactive_Socialite_Day_14_Unpredictability_T4","0","inactive","Day 14","Unpredictability","See What You're Missing!","Dekho kya miss kar rahe ho!","Everyone's enjoying fun chats with Sia and claiming their daily mystery rewards.","Sab Sia ke fun chats enjoy kar rahe hain aur daily mystery rewards pa rahe hain.","Join The Fun","Fun Join Karo","Celebratory","rewards_system","sia_chat"
"Inactive_Socialite_Day_14_Unpredictability_T5","0","inactive","Day 14","Unpredictability","Sia's Waiting For You!","Sia aapka intezaar kar rahi hai!","Quick chat, earn coins, and keep your streak. Unexpected fun awaits!","Quick chat karo, coins kamao, streak rakho. Unexpected fun wait kar raha hai!","Chat With Sia","Sia Se Chat Karo","Supportive","ai_tutor_sia","sia_chat"
"Inactive_Socialite_Day_30_Unpredictability_T1","0","inactive","Day 30","Unpredictability","Level Up Your Speaking Skills Today!","Apni English Improve Karo, Abhi!","Challenge Sia, our AI Tutor, with new conversation scenarios and climb the leaderboards.","Sia AI Tutor ke saath naye scenarios mein baat karo aur leaderboards mein top pe aao.","Start AI Challenge","Challenge Lo","Motivational","nan","ai_tutor"
"Inactive_Socialite_Day_30_Unpredictability_T2","0","inactive","Day 30","Unpredictability","Conquer Your Speaking Fears with Sia!","English Bolne Ka Dar Khatam Karo!","Our AI Tutor helps you practice real conversations, build confidence, and shine socially.","Sia AI Tutor se baat karke confidence badhao, naye scenarios mein practice karo.","Practice Confidently","Abhi Practice Karein","Empathetic","nan","ai_tutor"
"Inactive_Socialite_Day_30_Unpredictability_T3","0","inactive","Day 30","Unpredictability","Ready for a New AI Conversation Challenge?","Naye AI Challenge ke liye Ready Ho?","See how high you can climb the leaderboards by refining your speaking skills with Sia.","Sia ke saath apni speaking skills refine karo aur dekho leaderboards mein kahan ho.","Discover Your Rank","Apna Rank Dekho","Friendly","nan","ai_tutor"
"Inactive_Socialite_Day_30_Unpredictability_T4","0","inactive","Day 30","Unpredictability","Don't Miss Out! Others Are Mastering English!","Peeche Mat Raho! Sab English Seekh Rahe Hain!","Join the challenge! Practice with our AI Tutor Sia and climb the ranks.","Sia AI Tutor ke saath practice karo, challenge lo aur leaderboards mein aage badho.","Join The Challenge","Challenge Join Karo","Encouraging","nan","ai_tutor"
"Inactive_Socialite_Day_30_Unpredictability_T5","0","inactive","Day 30","Unpredictability","Challenge Sia. Speak Better.","Sia Ko Challenge Karo. Better Bolo.","Refine your speaking skills with AI Tutor conversations and see your progress.","AI Tutor se baat karo, apni speaking skills sudharo aur progress dekho.","Start Now","Abhi Shuru Karo","Supportive","nan","ai_tutor"
